fecha,area_nieve,dia_sen,temperatura,precipitacion,precipitacion_bool,dias_sin_precip
2000-06-20,0.0,0.1877185654371988,11.64380807,0.242651283,1,0
2000-06-21,0.0,0.1708297432253439,11.47283597,0.01359561,0,1
2000-06-22,0.0,0.1538905767040621,11.7299716,0.041947407,0,2
2000-06-23,0.0,0.1369060579234757,9.076259983,6.079087057,1,0
2000-06-24,0.0,0.1198811922992273,6.508577311,3.246231308,1,0
2000-06-25,0.0,0.1028209971373606,4.047638465,0.715265236,1,0
2000-06-26,0.0,0.0857305001556947,4.594446537,0.120403304,1,0
2000-06-27,0.0,0.0686147380021341,7.349599039,0.039255704,0,1
2000-06-28,0.0,0.0514787547703467,6.854062795,9.782646041,1,0
2000-06-29,0.0,0.0343276005132438,6.077668975,3.454844267,1,0
2000-06-30,0.0,0.0171663297547073,7.260391779,1.217718279,1,0
2000-07-01,0.0,1.2246467991473532e-16,8.390478842,2.190292452,1,0
2000-07-02,0.0,-0.0171663297547071,10.21560142,1.852357198,1,0
2000-07-03,0.0,-0.0343276005132435,11.49151357,2.144539979,1,0
2000-07-04,0.0,-0.0514787547703464,9.464155058,10.77641107,1,0
2000-07-05,0.0,-0.0686147380021338,9.834152085,0.423095948,1,0
2000-07-06,0.0,-0.0857305001556945,11.13936368,0.129504033,1,0
2000-07-07,0.0,-0.1028209971373604,10.48289675,5.814265909,1,0
2000-07-08,0.0,-0.1198811922992271,6.55914649,1.927367328,1,0
2000-07-09,0.0,-0.1369060579234755,4.533222381,0.610176034,1,0
2000-07-10,0.0,-0.1538905767040619,5.895683513,16.06354998,1,0
2000-07-11,0.0,-0.1708297432253441,1.871947102,56.33608017,1,0
2000-07-12,0.0,-0.1877185654371986,0.305072196,1.613147266,1,0
2000-07-13,0.0,-0.204552066126201,0.475329902,0.564058785,1,0
2000-07-14,0.0,-0.2213252843824326,1.490301187,8.897015551,1,0
2000-07-15,0.0,-0.2380332770614855,-0.038067755,2.284431264,1,0
2000-07-16,0.0,-0.254671120241229,0.116246188,1.99536388,1,0
2000-07-17,0.0,-0.2712339106729102,1.2413376,2.638191603,1,0
2000-07-18,0.0,-0.287716767226167,4.734534175,0.020660446,0,1
2000-07-19,0.0,-0.3041148323275182,5.168730511,0.179402908,1,0
2000-07-20,0.0,-0.3204232733919105,6.040784462,0.244087479,1,0
2000-07-21,0.0,-0.3366372842469099,7.214425885,0.05394847,0,1
2000-07-22,0.0,-0.3527520865490943,8.144579848,0.84015267,1,0
2000-07-23,0.0,-0.3687629311922596,9.007292391,7.073725432,1,0
2000-07-24,0.0,-0.3846650997070009,8.116633755,10.93145133,1,0
2000-07-25,0.0,-0.4004539056512661,8.332507753,5.855169361,1,0
2000-07-26,0.0,-0.416124695991474,7.760905731,3.937742119,1,0
2000-07-27,0.0,-0.4316728524737836,8.372155985,0.079758666,0,1
2000-07-28,0.0,-0.4470937929851136,6.509474221,6.936341036,1,0
2000-07-29,0.0,-0.4623829729035145,5.00663985,3.111673959,1,0
2000-07-30,0.0,-0.4775358864374881,5.421780416,1.16053847,1,0
2000-07-31,0.0,-0.4925480679538642,7.208916065,0.020098757,0,1
2000-08-01,0.0,-0.5074150932938452,9.82443144,0.425368751,1,0
2000-08-02,0.0,-0.5221325810768248,9.64549366,3.917934879,1,0
2000-08-03,0.0,-0.5366961939916003,8.342089985,20.42593092,1,0
2000-08-04,0.0,-0.5511016400745998,5.425835597,24.7987495,1,0
2000-08-05,0.0,-0.5653446739747425,5.095260734,19.57720774,1,0
2000-08-06,0.0,-0.5794210982045637,4.767103134,7.697932223,1,0
2000-08-07,0.0,-0.5933267643772318,6.410507192,0.402134646,1,0
