,area_nieve,cuenca,dia_sen,temperatura,precipitacion,precipitacion_bool,year,month,dias_sin_precip
5374,247.095506324797,adda-bornio,-0.7469720876965558,8.231076777,1.77369686,1,2014,11,0
5375,324.4872260278998,adda-bornio,-0.7354170229639858,9.725342183,0.924920111,1,2014,11,0
5376,321.4546351304428,adda-bornio,-0.723644038295913,9.584160685,19.20872487,1,2014,11,0
5377,321.4546351304428,adda-bornio,-0.711656622281775,6.391673284,0.392254528,1,2014,11,0
5378,323.5167969407136,adda-bornio,-0.6994583270516471,6.710280749,0.003232429,0,2014,11,1
5379,323.5167969407136,adda-bornio,-0.6870527672236668,6.44118656,0.00173,0,2014,11,2
5380,327.3985132894585,adda-bornio,-0.6744436188329457,6.591195009,0.000852,0,2014,11,3
5381,357.7244222640286,adda-bornio,-0.6616346182422783,8.524218199,0.00214,0,2014,11,4
5382,424.9266365516759,adda-bornio,-0.6486295610349818,9.8924658,0.000435,0,2014,11,5
5383,422.0153492901172,adda-bornio,-0.6354323008901775,11.38697318,0.0017,0,2014,11,6
5384,412.7962729618479,adda-bornio,-0.622046748440868,12.17715454,1.29737511,1,2014,11,0
5385,406.9736984387304,adda-bornio,-0.6084768701151264,10.83242378,2.229650034,1,2014,11,0
5386,406.36718025923903,adda-bornio,-0.5947266869607633,9.273182484,1.755869552,1,2014,11,0
5387,399.8167839207319,adda-bornio,-0.5808002734538013,8.587529866,0.779505234,1,2014,11,0
5388,399.8167839207319,adda-bornio,-0.5667017562911177,6.970219224,0.01891863,0,2014,11,1
5389,399.8167839207319,adda-bornio,-0.5524353131676195,5.108982881,9.606311416,1,2014,11,0
5390,399.8167839207319,adda-bornio,-0.5380051715383,4.919837178,16.93880779,1,2014,11,0
5391,394.47942394120753,adda-bornio,-0.5234156073655503,4.372071577,1.301475969,1,2014,11,0
5392,394.47942394120753,adda-bornio,-0.5086709438521049,4.856349435,0.307028627,1,2014,11,0
5393,391.0829221360557,adda-bornio,-0.4937755501599773,6.562913444,0.993857657,1,2014,12,0
5394,401.2724275515112,adda-bornio,-0.478733840115789,5.147502481,1.127258264,1,2014,12,0
5395,392.2959584950385,adda-bornio,-0.4635502709028512,4.670068973,0.810257804,1,2014,12,0
5396,389.1420639616832,adda-bornio,-0.4482293417404106,2.866914558,1.363652084,1,2014,12,0
5397,389.1420639616832,adda-bornio,-0.4327755925504317,2.861911149,0.027003661,0,2014,12,1
5398,392.9024766745299,adda-bornio,-0.4171936026123169,1.362546692,2.07e-05,0,2014,12,2
5399,398.2398366540542,adda-bornio,-0.4014879892059729,1.404787468,0.00307,0,2014,12,3
5400,395.9350675719869,adda-bornio,-0.3856634062436074,2.995211274,0.000953,0,2014,12,4
5401,395.4498530283938,adda-bornio,-0.3697245428906732,3.253103475,0.00209,0,2014,12,5
5402,399.5741766489353,adda-bornio,-0.3536761221763721,3.329420807,0.0026,0,2014,12,6
5403,396.0563712078852,adda-bornio,-0.3375228995941134,4.551859075,0.000435,0,2014,12,7
5404,397.5120148386646,adda-bornio,-0.3212696616923651,4.4732422,0.00215,0,2014,12,8
5405,397.5120148386646,adda-bornio,-0.3049212246562894,5.43751149,1.128068088,1,2014,12,0
5406,397.5120148386646,adda-bornio,-0.288482432880609,3.182353914,11.90962246,1,2014,12,0
5407,395.2072457565972,adda-bornio,-0.271958157534106,2.661134378,1.968316041,1,2014,12,0
5408,395.2072457565972,adda-bornio,-0.2553532951161872,3.414950735,0.512387473,1,2014,12,0
5409,395.2072457565972,adda-bornio,-0.2386727660059499,4.384929794,0.001276981,0,2014,12,1
5410,379.1951658180242,adda-bornio,-0.2219215130041658,6.323736584,0.00173,0,2014,12,2
5411,413.7667020490341,adda-bornio,-0.2051044998686192,7.704500356,0.000859,0,2014,12,3
5412,394.7220312130041,adda-bornio,-0.1882267098432448,7.4388822,0.000485,0,2014,12,4
5413,398.8463548335456,adda-bornio,-0.1712931441814778,5.790452213,0.00159,0,2014,12,5
5414,397.0268002950714,adda-bornio,-0.154308820664281,4.446535517,0.00259,0,2014,12,6
5415,388.171634874497,adda-bornio,-0.1372787721132651,4.249989325,7.07e-05,0,2014,12,7
5416,388.171634874497,adda-bornio,-0.1202080448993527,4.442546576,0.00131,0,2014,12,8
5417,385.7455621565314,adda-bornio,-0.1031016974474354,4.070243944,0.00423,0,2014,12,9
5418,385.3816512488365,adda-bornio,-0.0859647987374467,3.988865963,0.000972,0,2014,12,10
5419,385.3816512488365,adda-bornio,-0.0688024268023197,3.738833802,6.77e-06,0,2014,12,11
5420,380.5295058129053,adda-bornio,-0.0516196672232541,2.872334038,0.510725467,1,2014,12,0
5421,425.7757620029639,adda-bornio,-0.0344216116227458,-0.329838515,0.020206853,0,2014,12,1
5422,425.7757620029639,adda-bornio,-0.0172133561558352,-0.024537515,0.000435,0,2014,12,2
5423,416.6779893105928,adda-bornio,-2.4492935982947064e-16,0.849728085,0.00129,0,2014,12,3
5424,406.9736984387304,adda-bornio,0.0172133561558346,2.411970906,0.00214,0,2015,1,4
5425,418.9827583926602,adda-bornio,0.0344216116227457,2.802984372,0.0013,0,2015,1,5
5426,400.6659093720198,adda-bornio,0.0516196672232537,4.215168161,0.00299,0,2015,1,6
5427,407.9441275259167,adda-bornio,0.0688024268023198,5.873778802,0.000857,0,2015,1,7
5428,404.3050184489682,adda-bornio,0.0859647987374464,5.320563764,0.00259,0,2015,1,8
5429,397.3907112027663,adda-bornio,0.1031016974474348,3.627732665,0.00388,0,2015,1,9
5430,393.9942093976144,adda-bornio,0.1202080448993527,3.782337294,0.136146047,1,2015,1,0
5431,390.7190112283609,adda-bornio,0.1372787721132647,3.672579904,0.019586461,0,2015,1,1
5432,389.3846712334798,adda-bornio,0.1543088206642811,3.929050936,0.000853,0,2015,1,2
5433,389.3846712334798,adda-bornio,0.1712931441814776,5.704529912,0.000862,0,2015,1,3
5434,390.2337966847677,adda-bornio,0.1882267098432442,7.736423514,0.0,0,2015,1,4
5435,390.8403148642592,adda-bornio,0.2051044998686192,5.154636815,0.067692883,0,2015,1,5
5436,400.4233021002233,adda-bornio,0.2219215130041655,6.355179385,0.002152656,0,2015,1,6
5437,399.0889621053422,adda-bornio,0.2386727660059501,6.75472779,0.153006141,1,2015,1,0
5438,401.6363384592061,adda-bornio,0.255353295116187,4.84231477,0.121713226,1,2015,1,0
5439,400.9085166438164,adda-bornio,0.2719581575341055,1.976495404,6.428461128,1,2015,1,0
5440,400.9085166438164,adda-bornio,0.288482432880609,-0.363180153,0.057402657,0,2015,1,1
5441,400.9085166438164,adda-bornio,0.304921224656289,0.011342263,9.638028518,1,2015,1,0
5442,471.74984000841215,adda-bornio,0.3212696616923644,0.177860984,4.167743058,1,2015,1,0
5443,473.5693945468863,adda-bornio,0.3375228995941133,-1.354096884,1.433473365,1,2015,1,0
5444,471.8711436443104,adda-bornio,0.3536761221763715,-1.940754173,5.016250431,1,2015,1,0
5445,471.8711436443104,adda-bornio,0.3697245428906731,-2.624967332,3.763984639,1,2015,1,0
5446,473.2054836391914,adda-bornio,0.3856634062436071,-1.604357056,0.000310155,0,2015,1,1
5447,473.9333054545812,adda-bornio,0.401487989205973,-0.406780082,0.0,0,2015,1,2
5448,472.5989654597,adda-bornio,0.4171936026123168,1.51547755,0.000852,0,2015,1,3
5449,472.35635818790354,adda-bornio,0.4327755925504312,3.434903134,9.69e-05,0,2015,1,4
