fecha,dia_sen,temperatura,precipitacion,precipitacion_bool,area_nieve,dias_sin_precip
2012-11-02,0.07582047307952594,0.5268353736158073,0.021046194275275005,1,25.98687527439837,0.0
2012-11-03,0.08042723736733354,0.5313432713385747,0.022394705528213762,1,25.98687527439837,0.0
2012-11-04,0.08515765167410566,0.6037493552188413,0.22069583912466864,1,26.774356343319536,0.0
2012-11-05,0.09001032192503317,0.5625679952390319,0.13799444250265863,1,26.774356343319536,0.0
2012-11-06,0.09498381801591999,0.4138807858118171,0.004646321802791862,1,26.774356343319536,0.0
2012-11-07,0.10007667423463973,0.429795346998326,0.000199211107092522,0,29.766784405219955,0.05
2012-11-08,0.10528738969308932,0.5274232882223022,1.6076021595525078e-05,0,39.37405344605814,0.1
2012-11-09,0.11061442876950622,0.546521227119622,0.027997537146464465,1,38.90156480470544,0.0
2012-11-10,0.11605622156102335,0.5741545464597395,0.2596759942711947,1,19.68702672302907,0.0
2012-11-11,0.12161116434632768,0.597633419097571,0.5131907975970229,1,27.246844984672236,0.0
2012-11-12,0.12727762005828358,0.5588999215662627,0.00033658413243403755,0,28.82180712251456,0.05
2012-11-13,0.13305391876638395,0.47956658527788243,0.00012251847278331557,0,121.11458840007484,0.1
2012-11-14,0.13893835816888667,0.49423814399376453,2.5113400309489887e-05,0,110.87733450409972,0.15000000000000002
2012-11-15,0.14492920409449078,0.48182816487872115,0.0,0,91.19030778107064,0.2
2012-11-16,0.15102469101340377,0.4500461819237347,1.6656970955265663e-05,0,78.90560310590051,0.25
2012-11-17,0.15722302255765302,0.4414496282451553,0.0,0,78.90560310590051,0.30000000000000004
2012-11-18,0.16352237205048242,0.43109009020363953,1.7209148432346625e-05,0,78.90560310590051,0.35000000000000003
2012-11-19,0.16992088304468278,0.47975512885681887,9.849751336441881e-05,0,79.8505803886059,0.4
2012-11-20,0.17641666986969523,0.47508844136184925,9.816886334001473e-05,0,71.66077727182582,0.45
2012-11-21,0.1830078181873271,0.47096709892493027,1.7425847564733255e-05,0,71.66077727182582,0.5
2012-11-22,0.1896923855559166,0.48691735730466823,0.017352945771179205,1,65.51842493424074,0.0
2012-11-23,0.19646840200277765,0.4785539256674747,0.0004707284465484108,0,67.09338707208308,0.05
2012-11-24,0.20333387060476227,0.525292843771749,0.00019243893650599327,0,66.93589085829883,0.1
2012-11-25,0.21028676807676117,0.5200483629212623,0.00228679145395923,1,66.14840978937768,0.0
2012-11-26,0.21732504536797603,0.5611313737814505,0.06738481769834262,1,66.14840978937768,0.0
2012-11-27,0.22444662826578365,0.5565391342992582,0.13895920671180215,1,120.48460354493793,0.0
2012-11-28,0.231649418007017,0.5486233410004181,0.44610068967317984,1,158.75618349450642,0.0
2012-11-29,0.238931291896478,0.48021426905342,0.1290310591590405,1,142.84906590229892,0.0
2012-11-30,0.24629010393250844,0.37061025862389585,0.003195964423055161,1,142.84906590229892,0.0
2012-12-01,0.2537236854394247,0.34484806656951766,0.011451860944885464,1,136.23422492336115,0.0
2012-12-02,0.2612298457066371,0.3024965423789714,0.004636682292726481,1,126.46945966873876,0.0
2012-12-03,0.26880637263426177,0.2293827173221572,0.01700023780599963,1,117.64967169682173,0.0
2012-12-04,0.27645103338503796,0.37101719966327207,0.050494884036176434,1,111.34982314545242,0.0
2012-12-05,0.28416157504235273,0.24463963345297157,0.005311954609618356,1,111.34982314545242,0.0
2012-12-06,0.29193572527418943,0.20544095710012494,0.012008140048104621,1,111.34982314545242,0.0
2012-12-07,0.29977119300279154,0.19496315632916156,0.040677662262554204,1,111.34982314545242,0.0
2012-12-08,0.30766566907985526,0.19481308925592405,0.002358557113117616,1,99.38011089785076,0.0
2012-12-09,0.31561682696704535,0.19847469748147306,0.009305996185837627,1,97.80514876000842,0.0
2012-12-10,0.3236223234216371,0.29899556586598247,0.052605617448754374,1,96.7026752635188,0.0
2012-12-11,0.331679799187081,0.23747609129673042,0.00998982543359938,1,92.9227661326972,0.0
2012-12-12,0.3397868796882846,0.1379530644320635,0.00032846608571952715,0,102.0575465321827,0.05
2012-12-13,0.34794117573141337,0.25321216511652844,0.006965002299893155,1,88.35537593295446,0.0
2012-12-15,0.3643817888031314,0.4504812759893292,0.10250811878053306,1,87.88288729160176,0.0
2012-12-16,0.37266326070758693,0.3797468793519797,0.012128630858277138,1,71.81827348561005,0.0
2012-12-17,0.3809822593335804,0.37460420743326167,0.021507429188079703,1,71.81827348561005,0.0
2012-12-18,0.3893363330340332,0.29697129050401133,0.009331147070914836,1,64.25845522396688,0.0
2012-12-19,0.3977230198250812,0.20680748606236987,0.0005050492623642725,0,56.38364453475526,0.05
2012-12-20,0.4061398481116325,0.2976522911025878,0.034694408256734886,1,54.808682396912936,0.0
2012-12-21,0.4145843374157585,0.40296841964490215,0.012814645155623788,1,54.808682396912936,0.0
